year,country,gov_party,value,gdp,tax_rate_variation_per_gov,tax_rate_variation_per_year,gdp_variation_per_gov,gdp_variation_per_year
2012,Hungary,1,35.132934,128814279315.0,0.0009707722424383558,0.0009707722424383558,-0.0924882048363096,-0.0924882048363096
2013,Hungary,1,34.5,135684315698.0,-0.01801540400810242,-0.01801540400810242,0.05333287908400397,0.05333287908400397
2014,Hungary,1,34.5,141033843266.0,0.0,0.0,0.03942627812566579,0.03942627812566579
2015,Hungary,1,34.5,125174166987.0,0.0,0.0,-0.11245298228941758,-0.11245298228941758
2016,Hungary,1,33.5,128609822750.0,-0.02898550724637683,-0.02898550724637683,0.027447003209190912,0.027447003209190912
2017,Hungary,1,33.5,143112196040.0,0.0,0.0,0.11276256338670687,0.11276256338670687
2018,Hungary,1,33.5,160565642984.0,0.0,0.0,0.12195639104805389,0.12195639104805389
2019,Hungary,1,33.5,164020460332.0,0.0,0.0,0.021516541669778455,0.021516541669778455
2020,Hungary,1,33.5,157227094449.0,0.0,0.0,-0.04141779549483826,-0.04141779549483826
2021,Hungary,1,33.5,182275444032.0,0.0,0.0,0.15931318753158652,0.15931318753158652
2000,Iceland,1,25.438707,9025660362.0,,,,
2001,Iceland,1,25.641928,8234846523.0,0.007988652882396918,0.007988652882396918,-0.08761839104089253,-0.08761839104089253
2002,Iceland,1,27.247001,9318398444.0,0.06259564413409158,0.06259564413409158,0.1315813133825421,0.1315813133825421
2003,Iceland,1,27.593595,11429335645.0,0.01272044582080789,0.01272044582080789,0.22653433566786418,0.22653433566786418
2004,Iceland,1,28.030967,13825309101.0,0.01585048994159699,0.01585048994159699,0.2096336594199304,0.2096336594199304
2005,Iceland,1,28.158699,16852971987.0,0.0045568174654837534,0.0045568174654837534,0.21899422746222763,0.21899422746222763
2006,Iceland,1,27.809316,17465318552.0,-0.012407639997856434,-0.012407639997856434,0.036334633765032764,0.036334633765032764
2007,Iceland,2,26.83066,21652505597.0,,-0.035191660233570565,,0.23974295301476278
2008,Iceland,3,27.248707,18074619562.0,,0.015580943592144125,,-0.1652412012536657
2009,Iceland,4,26.238675,13154416197.0,,-0.037067153314834345,,-0.2722161508364034
2010,Iceland,4,27.5988,13751161918.0,0.05183664952593836,0.05183664952593836,0.045364667809134174,0.045364667809134174
2011,Iceland,5,28.378515,15221622926.0,,0.028251771816165894,,0.1069335825415012
2012,Iceland,5,28.672475,14751508134.0,0.010358540607216415,0.010358540607216415,-0.03088466941307544,-0.03088466941307544
2013,Iceland,3,29.053343,16125060515.0,,0.013283401589852417,,0.09311267488875719
2014,Iceland,1,28.912259,17867662178.0,,-0.004856033262678361,,0.10806791462140453
2015,Iceland,1,29.354414,17517210519.0,0.015292993881937722,0.015292993881937722,-0.01961373880414541,-0.01961373880414541
2016,Iceland,1,29.043671,20793168031.0,-0.010585903707701294,-0.010585903707701294,0.1870136519993717,0.1870136519993717
2017,Iceland,2,28.312412,24728285177.0,,-0.025177912254962576,,0.1892504855505055
2018,Iceland,2,28.371204,26260850582.0,0.00207654508559707,0.00207654508559707,0.06197621040157908,0.06197621040157908
2019,Iceland,2,28.303713,24663643102.0,-0.002378855687619086,-0.002378855687619086,-0.06082085860138797,-0.06082085860138797
2020,Iceland,2,28.228341,21553080484.0,-0.0026629721690577535,-0.0026629721690577535,-0.12611934924357393,-0.12611934924357393
2021,Iceland,2,28.219393,25552639899.0,-0.00031698639321386946,-0.00031698639321386946,0.18556787824223475,0.18556787824223475
2000,Ireland,1,27.54958,100207610430.0,,,,
2001,Ireland,1,23.515029,109346669230.0,-0.14644691498019213,-0.14644691498019213,0.09120124470370539,0.09120124470370539
2002,Ireland,1,21.907722,128596035288.0,-0.06835232905730193,-0.06835232905730193,0.1760398025248564,0.1760398025248564
2003,Ireland,1,22.93657,164670771260.0,0.04696280151811316,0.04696280151811316,0.28052759084841195,0.28052759084841195
2004,Ireland,1,23.553583,194372115041.0,0.026900840012259897,0.026900840012259897,0.18036803710662364,0.18036803710662364
2005,Ireland,1,22.82663,211876989656.0,-0.030863796815966293,-0.030863796815966293,0.09005856941623347,0.09005856941623347
2006,Ireland,1,21.500277,232180617162.0,-0.05810551097555794,-0.05810551097555794,0.09582743052449749,0.09582743052449749
2007,Ireland,2,20.345914,270079279420.0,,-0.053690610590737986,,0.1632292252524976
2008,Ireland,2,20.451767,275447471451.0,0.005202666245418985,0.005202666245418985,0.019876356462918077,0.019876356462918077
2009,Ireland,2,22.273497,236443115854.0,0.08907445503364086,0.08907445503364086,-0.14160360736489308,-0.14160360736489308
2010,Ireland,2,23.444077,221913560882.0,0.05255483680896633,0.05255483680896633,-0.061450530794780134,-0.061450530794780134
2011,Ireland,2,25.314449,239003132208.0,0.07978015086710388,0.07978015086710388,0.07701003606123558,0.07701003606123558
2012,Ireland,2,25.814607,225628699653.0,0.019757807092700252,0.019757807092700252,-0.05595923547713377,-0.05595923547713377
2013,Ireland,2,26.749803,238340859897.0,0.036227396372914056,0.036227396372914056,0.05634106061662525,0.05634106061662525
2014,Ireland,2,26.939143,259170903648.0,0.007078182968300872,0.007078182968300872,0.08739602500386123,0.08739602500386123
2015,Ireland,2,26.040752,291775166507.0,-0.03334890794410206,-0.03334890794410206,0.12580217300659013,0.12580217300659013
2016,Ireland,2,25.419829,299091127525.0,-0.02384428068743949,-0.02384428068743949,0.025073967416704424,0.025073967416704424
2017,Ireland,1,25.332762,336377500161.0,,-0.003425160727871135,,0.12466559253879361
2018,Ireland,1,25.621254,385736680797.0,0.011388098936862878,0.011388098936862878,0.1467374619657238,0.1467374619657238
2019,Ireland,1,25.988631,399321701632.0,0.014338759531442147,0.014338759531442147,0.035218379561235746,0.035218379561235746
2020,Ireland,2,26.730926,425852281928.0,,0.02856229710599223,,0.06643911459750718
2021,Ireland,2,27.291054,504182603276.0,0.0209543058852506,0.0209543058852506,0.18393777530877142,0.18393777530877142
2000,Italy,4,29.045019,1146676894210.0,,,,
2001,Italy,2,28.472861,1168023426056.0,,-0.01969900587773754,,0.018615995450668388
2002,Italy,1,28.868803,1276769338449.0,,0.013905943628214956,,0.09310250973321343
2003,Italy,1,28.101708,1577621707051.0,-0.026571763297563833,-0.026571763297563833,0.23563564658238967,0.23563564658238967
2004,Italy,1,28.513604,1806542968546.0,0.014657329725296542,0.014657329725296542,0.14510529391923455,0.14510529391923455
2005,Italy,1,28.009731,1858217147204.0,-0.017671319276230446,-0.017671319276230446,0.028603902347028143,0.028603902347028143
2006,Italy,3,28.748655,1949551719390.0,,0.02638097452631727,,0.04915172175836835
2007,Italy,4,29.18973,2213102482751.0,,0.015342456890591993,,0.1351853150340956
2008,Italy,2,29.52948,2408655348719.0,,0.011639367681715473,,0.08836141457169111
2009,Italy,1,29.721882,2199928804119.0,,0.006515590521743109,,-0.08665687463796246
2010,Italy,1,30.229884,2136099955237.0,0.01709185172056049,0.01709185172056049,-0.029014052074090357,-0.029014052074090357
2011,Italy,1,30.785458,2294994296590.0,0.01837830406494456,0.01837830406494456,0.07438525569154408,0.07438525569154408
2012,Italy,1,30.952168,2086957656822.0,0.005415219094677903,0.005415219094677903,-0.0906479985928983,-0.0906479985928983
2013,Italy,3,31.105634,2141924094299.0,,0.00495816641987723,,0.026338070299280814
2014,Italy,4,31.029057,2162009615997.0,,-0.0024618369778284244,,0.009377326559545374
2015,Italy,4,31.09126,1836637711061.0,0.002004669365233802,0.002004669365233802,-0.1504951238553841,-0.1504951238553841
2016,Italy,4,31.112215,1877071687634.0,0.0006739836211204775,0.0006739836211204775,0.02201521635404169,0.02201521635404169
2017,Italy,4,31.135488,1961796197354.0,0.0007480341724304118,0.0007480341724304118,0.04513653382455152,0.04513653382455152
2018,Italy,3,31.222739,2091932426267.0,,0.0028023007058697313,,0.06633524373659361
2019,Italy,2,31.460432,2011302198827.0,,0.007612817056184662,,-0.03854341872021294
2020,Italy,3,30.135067,1897210466668.0,,-0.04212799747950069,,-0.05672530573751611
2021,Italy,2,28.192353,2114355756914.0,,-0.06446688835966419,,0.1144550349373541
2000,Japan,1,19.743566,4968359152796.0,,,,
2001,Japan,1,19.796777,4374709984220.0,0.002695105838529832,0.002695105838529832,-0.11948596112298304,-0.11948596112298304
2002,Japan,1,19.983238,4182845406489.0,0.009418755386293443,0.009418755386293443,-0.04385766791926182,-0.04385766791926182
2003,Japan,1,18.217154,4519563042184.0,-0.08837826982794272,-0.08837826982794272,0.08049966063116698,0.08049966063116698
2004,Japan,1,18.234211,4893116005657.0,0.0009363152993051571,0.0009363152993051571,0.0826524511299851,0.0826524511299851
2005,Japan,1,18.497657,4831466523976.0,0.014447896868145405,0.014447896868145405,-0.012599227488113152,-0.012599227488113152
2006,Japan,1,19.439642,4601662661030.0,0.05092455763451542,0.05092455763451542,-0.04756399776457221,-0.04756399776457221
2007,Japan,1,20.15121,4579749785985.0,0.03660396626645701,0.03660396626645701,-0.004761947291480717,-0.004761947291480717
2008,Japan,1,20.240686,5106679413138.0,0.004440229643778215,0.004440229643778215,0.11505642268176208,0.11505642268176208
2009,Japan,2,20.044061,5289493734900.0,,-0.009714344662033692,,0.03579905981402942
2010,Japan,2,20.629316,5759071769013.0,0.02919842441110121,0.02919842441110121,0.08877561022801306,0.08877561022801306
2011,Japan,1,21.030645,6233147172341.0,,0.019454304737975825,,0.08231802317150971
2012,Japan,1,21.342117,6272362996105.0,0.014810387413224824,0.014810387413224824,0.006291496523299855,0.006291496523299855
2013,Japan,1,21.523032,5212328181166.0,0.008476900393714626,0.008476900393714626,-0.1690008718559909,-0.1690008718559909
2014,Japan,1,21.843162,4896994405353.0,0.01487383376096818,0.01487383376096818,-0.06049768258115695,-0.06049768258115695
2015,Japan,1,22.106945,4444930651964.0,0.012076227791562477,0.012076227791562477,-0.0923145333584291,-0.0923145333584291
2016,Japan,1,22.226413,5003677627544.0,0.005404093600450022,0.005404093600450022,0.12570431786896763,0.12570431786896763
2017,Japan,1,22.263688,4930837369151.0,0.0016770587318788444,0.0016770587318788444,-0.01455734438046774,-0.01455734438046774
2018,Japan,1,22.359012,5040880939325.0,0.004281590722974737,0.004281590722974737,0.022317420335635108,0.022317420335635108
2019,Japan,1,22.374172,5117993853017.0,0.0006780263814878396,0.0006780263814878396,0.015297507443674307,0.015297507443674307
2020,Japan,1,22.228548,5048789595589.0,-0.006508576049205406,-0.006508576049205406,-0.013521754698318955,-0.013521754698318955
2021,Japan,1,22.233671,5005536736792.0,0.00023046939458226667,0.00023046939458226667,-0.008566975901469376,-0.008566975901469376
2000,Luxembourg,1,28.666121,21230182989.0,,,,
2001,Luxembourg,1,27.160991,21387533703.0,-0.052505534320461456,-0.052505534320461456,0.007411651330632818,0.007411651330632818
2002,Luxembourg,1,23.982673,23649833332.0,-0.1170177479901231,-0.1170177479901231,0.10577655471713743,0.10577655471713743
2003,Luxembourg,1,24.572709,29667268248.0,0.024602595382091197,0.024602595382091197,0.2544387874335654,0.2544387874335654
2004,Luxembourg,2,25.028524,35064843793.0,,0.01854964383454827,,0.18193705938408655
2005,Luxembourg,3,25.888584,37672280120.0,,0.03436319297134749,,0.07436041473313293
2006,Luxembourg,3,26.572716,42910146296.0,0.026426010785294274,0.026426010785294274,0.13903767330555739,0.13903767330555739
2007,Luxembourg,3,27.697209,51587401416.0,0.042317578677317114,0.042317578677317114,0.20221919217294482,0.20221919217294482
2008,Luxembourg,3,27.392783,58844277702.0,-0.010991215757515493,-0.010991215757515493,0.14067148347870173,0.14067148347870173
2009,Luxembourg,3,26.24065,54467289898.0,-0.04205972792176693,-0.04205972792176693,-0.0743825563832392,-0.0743825563832392
2010,Luxembourg,3,26.767409,56213985987.0,0.02007415974832938,0.02007415974832938,0.03206871669714073,0.03206871669714073
2011,Luxembourg,3,28.408934,61696281326.0,0.06132550968978734,0.06132550968978734,0.0975254688444942,0.0975254688444942
2012,Luxembourg,3,28.124654,59776383527.0,-0.010006711269067603,-0.010006711269067603,-0.03111853352806404,-0.03111853352806404
2013,Luxembourg,3,29.531952,65203276467.0,0.050037877799314456,0.050037877799314456,0.0907865718833385,0.0907865718833385
2014,Luxembourg,3,30.000944,68804811898.0,0.015880833071921563,0.015880833071921563,0.05523549775635539,0.05523549775635539
2015,Luxembourg,3,30.841086,60071584216.0,0.028003852145452424,0.028003852145452424,-0.12692757150396128,-0.12692757150396128
2016,Luxembourg,3,31.023718,62216885436.0,0.00592171105777517,0.00592171105777517,0.035712412915333225,0.035712412915333225
2017,Luxembourg,3,29.014746,65712180343.0,-0.0647560037774969,-0.0647560037774969,0.05617920091155115,0.05617920091155115
2018,Luxembourg,3,29.580826,71000359760.0,0.019510079460974827,0.019510079460974827,0.08047487375091067,0.08047487375091067
2019,Luxembourg,3,29.961286,69825641851.0,0.01286170981161927,0.01286170981161927,-0.01654523882654757,-0.01654523882654757
2020,Luxembourg,3,31.121448,73992591285.0,0.03872203616360115,0.03872203616360115,0.05967649309822032,0.05967649309822032
2021,Luxembourg,3,31.41502,85506243834.0,0.009433108639417931,0.009433108639417931,0.15560547818432857,0.15560547818432857
2000,Netherlands,3,33.619155,417479337445.0,,,,
2001,Netherlands,3,30.629323,431586852370.0,-0.08893239583207846,-0.08893239583207846,0.03379212732141168,0.03379212732141168
2002,Netherlands,2,30.646604,473861980071.0,,0.000564197909304065,,0.09795277003655678
2003,Netherlands,1,31.127655,580070360702.0,,0.015696714715927484,,0.22413357707045112
2004,Netherlands,1,32.551737,658380081545.0,0.04574973604661192,0.04574973604661192,0.1350003829677313,0.1350003829677313
2005,Netherlands,1,32.511263,685348181516.0,-0.0012433745087091497,-0.0012433745087091497,0.04096129382850533,0.04096129382850533
2006,Netherlands,1,32.492559,733955269899.0,-0.0005753083169977025,-0.0005753083169977025,0.07092320326214385,0.07092320326214385
2007,Netherlands,2,32.472075,848558887541.0,,-0.0006304212604493209,,0.15614523437888894
2008,Netherlands,3,32.840035,951869997864.0,,0.011331582598278711,,0.12174889903325448
