country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,744773415932.0,738962729045.0,760649334098.0,895540646635.0,1026690238278.0,1173108598779.0,1319264809591.0,1468820407783.0,1552989690722.0,1374625142157.0,1617343367486.0,1793326630175.0,1828366481522.0,1846597421835.0,1805749878440.0,1556508816217.0,1527994741907.0,1649265644244.0,1725297938436.0,1743725183673.0,1647598402303.0,2001486745424.0
Central Europe and the Baltics,428593201405.0,468615587873.0,528073833481.0,634392770406.0,763090766154.0,886071848816.0,1001568223853.0,1265418819111.0,1530535154239.0,1289701858874.0,1316398490312.0,1454558246006.0,1358875109415.0,1417323424010.0,1463549880657.0,1293370353420.0,1316495750804.0,1461216063230.0,1648513132166.0,1674114230083.0,1665358949114.0,1905555039663.0
Switzerland,279209007353.0,286580125206.0,309299934076.0,362088305989.0,403914244452.0,418292704114.0,441619409123.0,490754683815.0,567273005013.0,554191679309.0,598851028907.0,715888126682.0,686420221558.0,706234937371.0,726537808338.0,694118186380.0,687895460903.0,695200833086.0,725562534364.0,721369112727.0,739913619797.0,800640155387.0
Channel Islands,6439703435.0,6232906290.0,6663669065.0,7332244898.0,8553643354.0,8827272727.0,9676172953.0,11514605842.0,,,,,,,,,9511207129.0,9530244530.0,10422948632.0,10381669645.0,9811538462.0,11735662220.0
Chile,78249883996.0,71517267768.0,70295232513.0,76507853876.0,99079365628.0,122314960844.0,153840051814.0,172565861849.0,179663390875.0,171412643624.0,217105434200.0,251224856981.0,267175870678.0,277239473854.0,259405194673.0,242496655712.0,249298706449.0,276364936832.0,295402646018.0,278493308134.0,254096103516.0,316713577509.0
China,1211331627479.0,1339400843165.0,1470557565966.0,1660280610710.0,1955346808095.0,2285961242870.0,2752118542130.0,3550327569655.0,4594336785738.0,5101691085626.0,6087191720867.0,7551545321800.0,8532185615747.0,9570470577245.0,10475624783236.0,11061573199440.0,11233314018690.0,12310491176727.0,13894907485399.0,14279968485748.0,14687743556970.0,17820459342451.0
Cote d'Ivoire,16577533892.0,16810537038.0,18054383334.0,21251754335.0,23510575669.0,24036918719.0,25281413268.0,28760090924.0,34078240260.0,33886813225.0,34936307964.0,36693710822.0,36302302844.0,42760235496.0,48843005625.0,45815005171.0,48407761032.0,52512344034.0,58522477745.0,59898479821.0,62982768372.0,71811075955.0
Cameroon,10566579295.0,10953485345.0,12417251342.0,15970315030.0,18826214125.0,19509852219.0,20910512978.0,23928250410.0,27715142006.0,27932970297.0,27507501809.0,30630910513.0,30155062303.0,33728621190.0,36386544716.0,32210233022.0,33814337041.0,36098547059.0,39973842059.0,39670976440.0,40773241212.0,45338285386.0
"Congo, Dem. Rep.",19088046306.0,7438189100.0,8728038525.0,8937567060.0,10297483481.0,11964484458.0,14451901696.0,16737071816.0,19788515579.0,18648372545.0,21565721036.0,25839749199.0,29306235295.0,32679745036.0,35909040944.0,37917706486.0,37134801549.0,38019264805.0,47568210021.0,51775829869.0,48716961865.0,55350968593.0
"Congo, Rep.",3227927697.0,2796704603.0,3034250926.0,3503723087.0,4656974938.0,6650001685.0,8072305031.0,8782703428.0,11649857662.0,9723299908.0,13148396206.0,15655383586.0,17692911281.0,17958720704.0,17912907682.0,11890259177.0,10219341017.0,11094823677.0,13670038020.0,12750338736.0,10483151094.0,13366230821.0
Colombia,99875074935.0,98200641189.0,97945812790.0,94644969146.0,117092416651.0,145600527536.0,161792959248.0,206229536758.0,242504150473.0,232468666665.0,286498534095.0,334966134865.0,370691143087.0,382093697078.0,381240864422.0,293492370229.0,282720100286.0,311866875136.0,334198218101.0,323031701211.0,270150956773.0,318511813577.0
Comoros,351136579.8,378512024.1,425964681.1,546885223.2,633706110.4,653845169.2,698431794.5,795673153.2,915659107.8,905341174.0,907978731.7,1023086273.0,1015843491.0,1116224107.0,1149587660.0,966029599.8,1012835493.0,1077439756.0,1188797450.0,1195019531.0,1225039196.0,1296089479.0
Cabo Verde,539227277.6,563090488.9,620507385.7,813260468.9,924940012.9,972241682.1,1107571459.0,1649621735.0,1959620653.0,1852334581.0,1824751460.0,2046817975.0,1913081206.0,2028910915.0,2041930125.0,1749857628.0,1849789993.0,1996741545.0,2205099509.0,2266752197.0,1878277311.0,2091741774.0
Costa Rica,15013629659.0,15976174337.0,16578820687.0,17271760507.0,18610594846.0,20040642477.0,22715540324.0,26884700345.0,30801744881.0,30745714327.0,37658614803.0,42762613706.0,47231655433.0,50949668886.0,52016408924.0,56441920824.0,58847019585.0,60516044623.0,62420164965.0,64417670556.0,62395610764.0,64616482168.0
Caribbean small states,34533836400.0,35575792426.0,37324429142.0,39887632895.0,43625669538.0,49307227387.0,56074290119.0,62328938789.0,70781391356.0,59840574174.0,64939019150.0,70074558334.0,73844945661.0,75227025826.0,76921753856.0,75480329447.0,70977854237.0,73482494257.0,76247249561.0,77282796216.0,65994922945.0,75672802627.0
Cuba,30565400000.0,31682400000.0,33590500000.0,35901200000.0,38203000000.0,42643836100.0,48835925926.0,54262870370.0,56302129630.0,57481481481.0,59562962963.0,68990000000.0,73141000000.0,77148000000.0,80656000000.0,87133000000.0,91370000000.0,96851000000.0,100050000000.0,103428000000.0,107352000000.0,
Curacao,,,,,,,,,,,,2933128492.0,3024525140.0,3039944134.0,3048435754.0,3042737430.0,3014748603.0,3009497207.0,3020388827.0,2995185475.0,2496174749.0,2699612458.0
Cayman Islands,,,,,,,4200288282.0,4466278031.0,4585948969.0,4281714618.0,4156841164.0,4186073160.0,4291004486.0,4405796081.0,4562853582.0,4708167255.0,4909322200.0,5166281293.0,5530178499.0,5941896600.0,5647224973.0,6028373541.0
Cyprus,9985844486.0,10397897086.0,11420227885.0,14547325028.0,17320552500.0,18433411267.0,20072786351.0,23968764030.0,27844698989.0,25945391775.0,25799940416.0,27641551809.0,25047433100.0,23959708956.0,23225912183.0,19909269065.0,21046452117.0,22946583376.0,25597301191.0,25945194240.0,25008266159.0,28408064462.0
Czechia,61823494487.0,67808695574.0,82196206090.0,100090467581.0,119814667458.0,137143375920.0,156264210926.0,190184113270.0,236816948160.0,207434296805.0,209069940963.0,229562733399.0,208857719321.0,211685616593.0,209358834156.0,188033050460.0,196272068576.0,218628940952.0,249000540729.0,252548179965.0,245974558654.0,281791218507.0
Germany,1947981991012.0,1945790973803.0,2078484517475.0,2501640388482.0,2814353869359.0,2846864211175.0,2994703642024.0,3425578382922.0,3745264093617.0,3411261212652.0,3399667820000.0,3749314991051.0,3527143188785.0,3733804649549.0,3889093051023.0,3357585719352.0,3469853463946.0,3690849152518.0,3974443355020.0,3888226035921.0,3889668895300.0,4259934911822.0
Djibouti,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684.0,847918929.1,999105339.3,1049110685.0,1128611700.0,1239144502.0,1353632942.0,2042817163.0,2214679081.0,2424391785.0,2604955229.0,2762581334.0,2913466732.0,3088853639.0,3181071154.0,3372287462.0
Dominica,333470370.4,340203703.7,333196296.3,343311111.1,367200000.0,364255555.6,390251851.9,421374074.1,458188888.9,489074074.1,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037.0,576229629.6,521551851.9,554770370.4,611537037.0,504214814.8,555266666.7
Denmark,164157842127.0,164791096044.0,178634843166.0,218096916362.0,251374821136.0,264466895451.0,282885978374.0,319423375611.0,353358901702.0,321243301145.0,321995279402.0,344003137611.0,327148943812.0,343584391648.0,352993631618.0,302673070847.0,313115929314.0,332121063806.0,356841216410.0,346498737962.0,355222449505.0,398303272764.0
Dominican Republic,24305781112.0,25601824419.0,27137441266.0,21403168128.0,22322387610.0,35777560475.0,37879829855.0,43965459071.0,48122601590.0,48261079524.0,53860187452.0,58029773802.0,60681535894.0,62682158700.0,67179956265.0,71164826720.0,75704647977.0,79998045976.0,85555390386.0,88941371980.0,78844655833.0,94243426487.0
Algeria,54790398813.0,54744698044.0,56760355865.0,67863850334.0,85332581189.0,103198211973.0,117027280692.0,134977082624.0,171000699877.0,137211004291.0,161207306305.0,200013097903.0,209059081828.0,209755003251.0,213809980721.0,165979224317.0,160034212613.0,170096989043.0,174910891124.0,171760290068.0,145743722826.0,163472233246.0
East Asia & Pacific (excluding high income),1734224222957.0,1847017054394.0,2043852782637.0,2311295448247.0,2681922543396.0,3106483464947.0,3740321729011.0,4727369211703.0,5978428072955.0,6483977394715.0,7888957749541.0,9645008222753.0,10758481557852.0,11870565646661.0,12798136833358.0,13326936591373.0,13611836958159.0,14876744560574.0,16639892731999.0,17207134431206.0,17487420266794.0,20837352063118.0
Early-demographic dividend,3386374511010.0,3357006119629.0,3264336980104.0,3633102752694.0,4229767093662.0,4931859588770.0,5639663592982.0,6671943375191.0,7524219026102.0,7262366408336.0,8804986202943.0,9724222961682.0,10162396987594.0,10305214092090.0,10661877094591.0,10147533368061.0,10480129806000.0,11335422969864.0,11465084494130.0,11696252034573.0,10909268111328.0,12674194364882.0
East Asia & Pacific,8374967389222.0,7788979324781.0,7911872939399.0,8699256032059.0,9756921956174.0,10409529158922.0,11031655622225.0,12325978560533.0,14210859901527.0,14623038565207.0,17066365173220.0,19790735702384.0,21172217151488.0,21410751038294.0,22086203629928.0,21997190975439.0,22772302203841.0,24324925891393.0,26485229927652.0,27023995393949.0,27144860679484.0,31095572987691.0
Europe & Central Asia (excluding high income),662865829214.0,655068103161.0,750707698400.0,947224168366.0,1256021604554.0,1589623215079.0,1950105723611.0,2509469361145.0,3110393199188.0,2437810986693.0,2953116796718.0,3670089875344.0,3914684841121.0,4150272500478.0,3845774153167.0,2921688285552.0,2777867803806.0,3118424956385.0,3182909933138.0,3248044237781.0,2990896567052.0,3581677715820.0
Europe & Central Asia,10066421859249.0,10167228168695.0,11134372565307.0,13536888371228.0,15777100065927.0,16782544224445.0,18169184200684.0,21230055608753.0,23365417649315.0,20549545129766.0,21022097952360.0,23307862167329.0,22452882595862.0,23456119535713.0,23783762693463.0,20487299241755.0,20419509740630.0,21655200512836.0,23193777815580.0,22910270792581.0,22150021659550.0,25153884144576.0
Ecuador,18327764882.0,24468324000.0,28548945000.0,32432858000.0,36591661000.0,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726331000.0,99290381000.0,99937696000.0,104295862000.0,107562008000.0,108108009000.0,99291124000.0,106165866000.0
"Egypt, Arab Rep.",99838543960.0,96684636119.0,85146067416.0,80288461538.0,78782467532.0,89600665557.0,107426086957.0,130437828371.0,162818181818.0,189147005445.0,218983666062.0,235989672978.0,279116666667.0,288434108527.0,305595408895.0,329366576819.0,332441717791.0,248362771739.0,262588632527.0,318678815490.0,383817841547.0,424671765456.0
Euro area,6495755148669.0,6596586819720.0,7200156656955.0,8862330817568.0,10160398631609.0,10523525439927.0,11184044960382.0,12879111960144.0,14158257793140.0,12938506838995.0,12641745700259.0,13637891491639.0,12638777298889.0,13196293606326.0,13510069962194.0,11675505777209.0,11973696253893.0,12679719055233.0,13698192927475.0,13418360523882.0,13086148411425.0,14570891691512.0
Eritrea,706370815.6,752371683.2,729321671.4,870248293.7,1109054005.0,1098424709.0,1211161880.0,1317974491.0,1380188800.0,1856695551.0,1589515447.0,2065001626.0,,,,,,,,,,
Spain,598363313495.0,627830029412.0,708756677089.0,907491523174.0,1069055675274.0,1153715822718.0,1260398977832.0,1474002579820.0,1631863493552.0,1491472923707.0,1422108199783.0,1480710495710.0,1324750738725.0,1355579535913.0,1371820537889.0,1196156971280.0,1233554967012.0,1313245330198.0,1421702715218.0,1394320055129.0,1276962685648.0,1427380681295.0
Estonia,5686579748.0,6254649539.0,7367975888.0,9874013098.0,12145911801.0,14106790200.0,17022870405.0,22449129483.0,24341678629.0,19633031398.0,19523477326.0,23213994093.0,23019150071.0,25115753366.0,26634083965.0,22890762090.0,24072829277.0,26924385103.0,30624720196.0,31081901909.0,31370395573.0,37191166152.0
Ethiopia,8242349955.0,8231326016.0,7850809498.0,8623691300.0,10131187261.0,12401139454.0,15280861835.0,19707616773.0,27066912635.0,32437389116.0,29933790334.0,31952763089.0,43310721414.0,47648276190.0,55612228234.0,64589329345.0,74296745599.0,81770886909.0,84269196152.0,95912607970.0,107657734392.0,111261882913.0
European Union,7276637983681.0,7393878987405.0,8083741282668.0,9932175155886.0,11418921613749.0,11910059838304.0,12712564874685.0,14727376164776.0,16295205228567.0,14762588819490.0,14555972617838.0,15764817006877.0,14641967048097.0,15294848407438.0,15650588620202.0,13553055207692.0,13889039447070.0,14764668937681.0,15979881686056.0,15692624900173.0,15370461303996.0,17187869517146.0
Fragile and conflict affected situations,525779770491.0,524681289001.0,514970518034.0,539908403990.0,680984145585.0,855994138374.0,1060372941416.0,1291298791468.0,1635897220166.0,1511996903435.0,1789072058276.0,1682542841743.0,1885587511076.0,1957252462302.0,2076522998831.0,1658615485489.0,1554854673356.0,1645002526594.0,1729702731010.0,1825819675084.0,1662433181852.0,1782737506680.0
Finland,126019543413.0,129533107312.0,140404460203.0,171652458349.0,197479443979.0,204885494686.0,217089269792.0,256378067752.0,285716311137.0,253497520829.0,249424310817.0,275604356167.0,258290060228.0,271362405891.0,274862826772.0,234534382385.0,240771351299.0,255647979916.0,275708001768.0,268514916973.0,271886077382.0,296387625264.0
Fiji,1678219508.0,1652462063.0,1833279985.0,2300492002.0,2708078477.0,2980403465.0,3076305453.0,3378314600.0,3523185920.0,2870624636.0,3140167239.0,3779412255.0,3972028510.0,4189968870.0,4857103847.0,4682480304.0,4930213788.0,5353468388.0,5581425891.0,5481692622.0,4477030180.0,4296235428.0
France,1365639660792.0,1377657339291.0,1501409382971.0,1844544792037.0,2119633181634.0,2196945232436.0,2320536221305.0,2660591246212.0,2930303780828.0,2700887366932.0,2645187882117.0,2865157541994.0,2683671716967.0,2811876903329.0,2855964488590.0,2439188643163.0,2472964344587.0,2595151045198.0,2790956878747.0,2728870246706.0,2639008701648.0,2957879759264.0
Faroe Islands,1067109509.0,1160268142.0,1275093662.0,1501941505.0,1724770867.0,1759739599.0,2017680722.0,2339015385.0,2489873331.0,2296065313.0,2331796784.0,2505740886.0,2427200583.0,2690110671.0,2914012852.0,2573906036.0,2813278761.0,2980057168.0,3188601035.0,3275684065.0,3248670978.0,3649878680.0
"Micronesia, Fed. Sts.",233271800.0,240970900.0,242517200.0,245432900.0,240236000.0,250281900.0,253541900.0,256787200.0,263145100.0,280284600.0,296944100.0,311301600.0,327248700.0,317214400.0,319271200.0,316489900.0,332265200.0,366666800.0,401932300.0,412000000.0,408000000.0,404028900.0
Gabon,5080483628.0,5023265411.0,5335451104.0,6511903364.0,7770219004.0,9582783997.0,10327598309.0,12455409575.0,15571348329.0,12113699059.0,14372593014.0,18210307754.0,17170464001.0,17595744804.0,18203966900.0,14383107763.0,14023890264.0,14929487496.0,16867326390.0,16874405460.0,15314577168.0,20217946921.0
United Kingdom,1666048767080.0,1648765214387.0,1785781372554.0,2056704586737.0,2423047347028.0,2544813166101.0,2709978165671.0,3092996468387.0,2931683721187.0,2417565709974.0,2491397494468.0,2666403005061.0,2706340967031.0,2786315215250.0,3065223279584.0,2934857946213.0,2699659680997.0,2683488510504.0,2878152147316.0,2857057847953.0,2704609160088.0,3122480345925.0
Georgia,3057475335.0,3219462780.0,3395766678.0,3991377904.0,5125365192.0,6410912050.0,7745249284.0,10172933118.0,12795147992.0,10766919442.0,12243219360.0,15107482383.0,16488819133.0,17190068236.0,17627336228.0,14953675993.0,15141598623.0,16242647230.0,17596922470.0,17470436259.0,15842922533.0,18629365612.0
Ghana,4982849054.0,5314871684.0,6166197192.0,7632720680.0,8881419348.0,10744562615.0,20885042153.0,24827333947.0,28679383241.0,26048726186.0,32197648061.0,39336668081.0,41271708600.0,62824629066.0,54783320577.0,49406014245.0,56164933479.0,60405920071.0,67298913752.0,68337974419.0,70043095503.0,79156409410.0
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Guinea,2995361112.0,2829435908.0,2950198724.0,3446441785.0,3635458214.0,2937071740.0,4220019243.0,6281917650.0,6964179188.0,6716904516.0,6853467833.0,6785137215.0,7638045226.0,8376613880.0,8778473643.0,8794202395.0,8595955601.0,10324668271.0,11857030366.0,13442861497.0,14177835841.0,16091817842.0
